,tenure,MonthlyCharges,Contract,InternetService,Churn_Probability,Risk_Level,Monthly_Revenue
1252,1,19.45,Month-to-month,No,100.0,High Risk,19.45
629,49,90.05,Month-to-month,Fiber optic,100.0,High Risk,90.05
341,71,85.75,Two year,DSL,100.0,High Risk,85.75
1289,63,68.8,One year,DSL,100.0,High Risk,68.8
171,2,104.4,Month-to-month,Fiber optic,99.0,High Risk,104.4
740,47,65.0,Two year,DSL,98.0,High Risk,65.0
1178,15,101.35,Month-to-month,Fiber optic,97.0,High Risk,101.35
618,57,87.55,Month-to-month,Fiber optic,97.0,High Risk,87.55
1221,9,24.6,Month-to-month,DSL,96.0,High Risk,24.6
1109,40,50.15,Month-to-month,DSL,96.0,High Risk,50.15
38,34,106.35,Month-to-month,Fiber optic,96.0,High Risk,106.35
889,63,100.55,Month-to-month,Fiber optic,96.0,High Risk,100.55
813,34,30.4,One year,DSL,96.0,High Risk,30.4
771,15,93.35,Month-to-month,Fiber optic,95.0,High Risk,93.35
733,72,79.05,Two year,Fiber optic,95.0,High Risk,79.05
954,22,95.1,Month-to-month,Fiber optic,94.0,High Risk,95.1
1090,51,107.45,One year,Fiber optic,94.0,High Risk,107.45
1175,13,80.0,Month-to-month,Fiber optic,94.0,High Risk,80.0
627,66,104.6,One year,Fiber optic,93.0,High Risk,104.6
788,24,78.4,One year,DSL,93.0,High Risk,78.4
1393,1,20.35,Month-to-month,No,93.0,High Risk,20.35
995,35,85.3,Month-to-month,Fiber optic,93.0,High Risk,85.3
234,29,25.15,Month-to-month,No,93.0,High Risk,25.15
510,20,94.3,One year,Fiber optic,92.0,High Risk,94.3
1083,2,80.95,Month-to-month,Fiber optic,92.0,High Risk,80.95
762,3,70.3,Month-to-month,Fiber optic,92.0,High Risk,70.3
1259,46,95.25,One year,Fiber optic,92.0,High Risk,95.25
344,41,20.25,One year,No,91.0,High Risk,20.25
947,32,91.35,Month-to-month,Fiber optic,91.0,High Risk,91.35
1188,35,99.25,One year,Fiber optic,90.0,High Risk,99.25
654,8,19.65,Month-to-month,No,90.0,High Risk,19.65
1285,7,89.5,Month-to-month,Fiber optic,90.0,High Risk,89.5
1164,71,82.7,Two year,DSL,90.0,High Risk,82.7
594,1,45.6,Month-to-month,DSL,90.0,High Risk,45.6
